,Title,Company,Location,Rating,Date,Summary
0,JUNIOR SOFTWARE DEVELOPER,"

Idaho National Laboratory",United States,3,1 day ago,"

Employee has the responsibility to apply computer and software engineering principles, theories, and concepts to develop, deploy and support innovative…
"
1,Software Developer - Entry Level,"

ClockShark","Chico, CA 95973",4,30 ,"

You’ll solve difficult problems including mobile and web data synchronization, push notifications, geolocation, facial recognition, and interactive mapping,…
"
2,SOFTWARE DEVELOPER I,"
INDUSTRIAL TRAINING SERVICES","Murray, KY 42071",0,Today,"

1+ years of software development experience.
Write detailed specifications for substantial software functions.
Participate in daily scrum meetings.
"
3,Junior Software Developer,"
Alliance Benefit Group-Rocky Mountain","Midvale, UT 84047",0,Just posted,"

401(k) Advisor Mobile App for iOS and Android (Ionic 1, Cordova, and AngularJS).
401(k) Participant Mobile App for iOS and Android (Ionic 4, Cordova, and…
"
4,Software Developer,"

U.S. Environmental Protection Agency (EPA)","Athens, GA",4,Today,"

Assisting, developing, testing, documenting, and deploying desktop software;
The Landscape and Aquatic System Modeling Branch (LASMB) within EPD is responsible…
"
5,Software Developer,"
Blueprint Title.",Not mention,0,30 ,"

You love writing code and solving problems with software.
You're comfortable solving software challenges on your own, but you ask questions when you need help.
"
6,Jr C# .NET Software Engineer,"

Webstaurant Store, Inc.","Tampa, FL",2,Just posted,"

Developing large cutting-edge software solutions for both internal and external needs.
Taking start-to-finish ownership of the full development life cycle.
"
7,Software Developer,"
8k Miles",United States,0,30 ,"

Ensure that the software continues to function normally through software maintenance and testing.
Collaborate with other computer specialists to create optimum…
"
8,C# Software Developer,"

Clark Associates, Inc.","Tampa, FL",2,27 ,"

NET software engineer to join our ERP development team in Lititz PA or Tampa Fl.
The Clark ERP engineering team is responsible for building from scratch…
"
9,Software Developer Intern,"

Stuller, Inc.","Lafayette, LA 70508",3,5 ,"

Responsibilities include developing features or supporting projects for software, services, tools, or other technical systems.
"
