,name,date,time,genre,imdb,metascore
0,Room,I) (2015,118,"
Drama, Thriller            ",8.1,86
1,Relatos salvajes,2014,122,"
Comedy, Drama, Thriller            ",8.1,77
2,Kis Uykusu,2014,196,"
Drama            ",8.1,88
3,Gully Boy,2019,153,"
Drama, Music            ",8.1,65
4,The Grand Budapest Hotel,2014,99,"
Adventure, Comedy, Crime            ",8.1,88
5,Gone Girl,2014,149,"
Drama, Mystery, Thriller            ",8.1,79
6,Ookami kodomo no Ame to Yuki,2012,117,"
Animation, Drama, Family            ",8.1,71
7,Hacksaw Ridge,2016,139,"
Biography, Drama, History            ",8.1,71
8,Inside Out,I) (2015,95,"
Animation, Adventure, Comedy            ",8.1,94
9,12 Years a Slave,2013,134,"
Biography, Drama, History            ",8.1,96
10,Rush,I) (2013,123,"
Action, Biography, Drama            ",8.1,74
11,Ford v Ferrari,2019,152,"
Action, Biography, Drama            ",8.1,81
12,Spotlight,I) (2015,129,"
Biography, Crime, Drama            ",8.1,93
13,Song of the Sea,2014,93,"
Animation, Adventure, Drama            ",8.1,85
14,Prisoners,2013,153,"
Crime, Drama, Mystery            ",8.1,70
15,Mad Max: Fury Road,2015,120,"
Action, Adventure, Sci-Fi            ",8.1,90
16,Gran Torino,2008,116,"
Drama            ",8.1,72
17,Harry Potter and the Deathly Hallows: Part 2,2011,130,"
Adventure, Drama, Fantasy            ",8.1,85
18,Okuribito,2008,130,"
Drama, Music            ",8.1,68
19,How to Train Your Dragon,2010,98,"
Animation, Action, Adventure            ",8.1,75
20,Tropa de Elite,2007,115,"
Action, Crime, Drama            ",8.1,33
21,Into the Wild,2007,148,"
Adventure, Biography, Drama            ",8.1,73
22,No Country for Old Men,2007,122,"
Crime, Drama, Thriller            ",8.1,91
23,Million Dollar Baby,2004,132,"
Drama, Sport            ",8.1,86
24,Hotel Rwanda,2004,121,"
Biography, Drama, History            ",8.1,79
25,Taegukgi hwinalrimyeo,2004,140,"
Action, Drama, War            ",8.1,64
26,Salinui chueok,2003,131,"
Action, Crime, Drama            ",8.1,82
27,Kill Bill: Vol. 1,2003,111,"
Action, Crime, Thriller            ",8.1,69
28,Finding Nemo,2003,100,"
Animation, Adventure, Comedy            ",8.1,90
29,Catch Me If You Can,2002,141,"
Biography, Crime, Drama            ",8.1,75
30,Amores perros,2000,154,"
Drama, Thriller            ",8.1,83
31,Lagaan: Once Upon a Time in India,2001,224,"
Adventure, Drama, Musical            ",8.1,84
32,The Sixth Sense,1999,107,"
Drama, Mystery, Thriller            ",8.1,64
33,La leggenda del pianista sull'oceano,1998,169,"
Drama, Music, Romance            ",8.1,58
34,The Truman Show,1998,103,"
Comedy, Drama, Sci-Fi            ",8.1,90
35,"Crna macka, beli macor",1998,127,"
Comedy, Crime, Romance            ",8.1,73
36,The Big Lebowski,1998,117,"
Comedy, Crime, Sport            ",8.1,71
37,Fa yeung nin wah,2000,98,"
Drama, Romance            ",8.1,85
38,Trainspotting,1996,93,"
Drama            ",8.1,83
39,Fargo,1996,98,"
Crime, Drama, Thriller            ",8.1,85
40,Before Sunrise,1995,101,"
Drama, Romance            ",8.1,77
41,Trois couleurs: Rouge,1994,99,"
Drama, Mystery, Romance            ",8.1,100
42,Chung Hing sam lam,1994,102,"
Comedy, Crime, Drama            ",8.1,77
43,Jurassic Park,1993,127,"
Action, Adventure, Sci-Fi            ",8.1,68
44,In the Name of the Father,1993,133,"
Biography, Drama            ",8.1,84
45,Dead Poets Society,1989,128,"
Comedy, Drama            ",8.1,79
46,The Princess Bride,1987,98,"
Adventure, Family, Fantasy            ",8.1,77
47,Stand by Me,1986,89,"
Adventure, Drama            ",8.1,75
48,Platoon,1986,120,"
Drama, War            ",8.1,92
49,"Paris, Texas",1984,145,"
Drama            ",8.1,78
50,Kaze no tani no Naushika,1984,117,"
Animation, Adventure, Fantasy            ",8.1,86
51,The Thing,1982,109,"
Horror, Mystery, Sci-Fi            ",8.1,57
52,Pink Floyd: The Wall,1982,95,"
Fantasy, Music            ",8.1,47
53,Fanny och Alexander,1982,188,"
Drama            ",8.1,100
54,Blade Runner,1982,117,"
Action, Sci-Fi, Thriller            ",8.1,84
55,The Elephant Man,1980,124,"
Biography, Drama            ",8.1,78
56,Life of Brian,1979,94,"
Comedy            ",8.1,77
57,The Deer Hunter,1978,183,"
Drama, War            ",8.1,86
58,Rocky,1976,120,"
Drama, Sport            ",8.1,70
59,Network,1976,121,"
Drama            ",8.1,83
60,Barry Lyndon,1975,185,"
Adventure, Drama, History            ",8.1,89
61,Paper Moon,1973,102,"
Comedy, Drama            ",8.1,77
62,Solaris,1972,167,"
Drama, Mystery, Sci-Fi            ",8.1,90
63,Cool Hand Luke,1967,127,"
Crime, Drama            ",8.1,92
64,Persona,1966,85,"
Drama, Thriller            ",8.1,86
65,La battaglia di Algeri,1966,121,"
Drama, War            ",8.1,96
66,What Ever Happened to Baby Jane?,1962,134,"
Drama, Horror, Thriller            ",8.1,75
67,The Man Who Shot Liberty Valance,1962,123,"
Drama, Western            ",8.1,94
68,Inherit the Wind,1960,128,"
Biography, Drama, History            ",8.1,75
69,Ben-Hur,1959,212,"
Adventure, Drama, History            ",8.1,90
70,Sweet Smell of Success,1957,96,"
Drama, Film-Noir            ",8.1,100
71,The Bridge on the River Kwai,1957,161,"
Adventure, Drama, War            ",8.1,87
72,On the Waterfront,1954,108,"
Crime, Drama, Thriller            ",8.1,91
73,Le salaire de la peur,1953,131,"
Adventure, Drama, Thriller            ",8.1,85
74,Ace in the Hole,1951,111,"
Drama, Film-Noir            ",8.1,72
75,The Third Man,1949,104,"
Film-Noir, Mystery, Thriller            ",8.1,97
76,The Shop Around the Corner,1940,99,"
Comedy, Drama, Romance            ",8.1,96
77,Rebecca,1940,130,"
Drama, Mystery, Romance            ",8.1,86
78,Mr. Smith Goes to Washington,1939,129,"
Comedy, Drama            ",8.1,73
79,Gone with the Wind,1939,238,"
Drama, History, Romance            ",8.1,97
80,It Happened One Night,1934,105,"
Comedy, Romance            ",8.1,87
81,The Circus,1928,72,"
Comedy, Romance            ",8.1,90
82,Manbiki kazoku,2018,121,"
Crime, Drama            ",8.0,93
83,Marriage Story,2019,137,"
Comedy, Drama, Romance            ",8.0,94
84,Togo,2019,113,"
Adventure, Biography, Drama            ",8.0,69
85,La La Land,2016,128,"
Comedy, Drama, Music            ",8.0,94
86,Lion,2016,118,"
Biography, Drama            ",8.0,69
87,The Martian,2015,144,"
Adventure, Drama, Sci-Fi            ",8.0,80
88,Zootopia,2016,108,"
Animation, Adventure, Comedy            ",8.0,78
89,Kaguyahime no monogatari,2013,137,"
Animation, Adventure, Drama            ",8.0,89
90,Wonder,I) (2017,113,"
Drama, Family            ",8.0,66
91,Short Term 12,2013,96,"
Drama            ",8.0,82
92,Serbuan maut 2: Berandal,2014,150,"
Action, Crime, Thriller            ",8.0,71
93,The Imitation Game,2014,114,"
Biography, Drama, Thriller            ",8.0,73
94,Guardians of the Galaxy,2014,121,"
Action, Adventure, Comedy            ",8.0,76
95,X-Men: Days of Future Past,2014,132,"
Action, Adventure, Sci-Fi            ",8.0,75
96,Blade Runner 2049,2017,164,"
Action, Drama, Mystery            ",8.0,81
97,Her,2013,126,"
Drama, Romance, Sci-Fi            ",8.0,90
98,Bohemian Rhapsody,2018,134,"
Biography, Drama, Music            ",8.0,49
99,The Revenant,2015,156,"
Action, Adventure, Drama            ",8.0,76
100,The Perks of Being a Wallflower,2012,103,"
Drama, Romance            ",8.0,67
101,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,"
Action, Crime, Drama            ",8.0,71
102,The King's Speech,2010,118,"
Biography, Drama, History            ",8.0,88
103,The Help,2011,146,"
Drama            ",8.0,62
104,Deadpool,2016,108,"
Action, Adventure, Comedy            ",8.0,65
105,Darbareye Elly,2009,119,"
Drama, Mystery, Thriller            ",8.0,87
106,Yip Man,2008,106,"
Action, Biography, Drama            ",8.0,59
107,My Name Is Khan,2010,165,"
Drama            ",8.0,50
108,Slumdog Millionaire,2008,120,"
Drama, Romance            ",8.0,84
109,Black Swan,2010,108,"
Drama, Thriller            ",8.0,79
110,The Avengers,2012,143,"
Action, Adventure, Sci-Fi            ",8.0,69
111,Persepolis,2007,96,"
Animation, Biography, Drama            ",8.0,90
112,Dallas Buyers Club,2013,117,"
Biography, Drama            ",8.0,80
113,The Pursuit of Happyness,2006,117,"
Biography, Drama            ",8.0,64
114,Blood Diamond,2006,143,"
Adventure, Drama, Thriller            ",8.0,64
115,The Bourne Ultimatum,2007,115,"
Action, Mystery, Thriller            ",8.0,85
116,Bin-jip,2004,88,"
Crime, Drama, Romance            ",8.0,72
117,Sin City,2005,124,"
Crime, Thriller            ",8.0,74
118,Le scaphandre et le papillon,2007,112,"
Biography, Drama            ",8.0,92
119,Ratatouille,2007,111,"
Animation, Adventure, Comedy            ",8.0,96
120,Before Sunset,2004,80,"
Drama, Romance            ",8.0,90
121,Casino Royale,2006,144,"
Action, Adventure, Thriller            ",8.0,80
122,Kill Bill: Vol. 2,2004,137,"
Action, Crime, Thriller            ",8.0,83
123,Vozvrashchenie,2003,110,"
Drama            ",8.0,82
124,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103,"
Drama, Romance            ",8.0,85
125,Mar adentro,I) (2004,126,"
Biography, Drama            ",8.0,74
126,Cinderella Man,2005,144,"
Biography, Drama, History            ",8.0,69
127,Kal ho naa ho,2003,186,"
Comedy, Drama, Romance            ",8.0,54
128,Mou gaan dou,2002,101,"
Action, Crime, Drama            ",8.0,75
129,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"
Action, Adventure, Fantasy            ",8.0,63
130,Big Fish,2003,125,"
Adventure, Drama, Fantasy            ",8.0,58
131,The Incredibles,2004,115,"
Animation, Action, Adventure            ",8.0,90
132,Dogville,2003,178,"
Crime, Drama            ",8.0,60
133,Donnie Darko,2001,113,"
Drama, Mystery, Sci-Fi            ",8.0,71
134,"Monsters, Inc.",2001,92,"
Animation, Adventure, Comedy            ",8.0,79
135,Magnolia,1999,188,"
Drama            ",8.0,77
136,Dancer in the Dark,2000,140,"
Crime, Drama, Musical            ",8.0,61
137,Mulholland Dr.,2001,147,"
Drama, Mystery, Thriller            ",8.0,85
138,The Straight Story,1999,112,"
Biography, Drama            ",8.0,86
139,Festen,1998,105,"
Drama            ",8.0,82
140,Central do Brasil,1998,110,"
Drama            ",8.0,80
141,The Iron Giant,1999,86,"
Animation, Action, Adventure            ",8.0,85
142,Sling Blade,1996,135,"
Drama            ",8.0,84
143,Secrets & Lies,1996,136,"
Comedy, Drama            ",8.0,91
144,Twelve Monkeys,1995,129,"
Mystery, Sci-Fi, Thriller            ",8.0,74
145,Kôkaku Kidôtai,1995,83,"
Animation, Action, Crime            ",8.0,76
146,The Nightmare Before Christmas,1993,76,"
Animation, Family, Fantasy            ",8.0,82
147,Groundhog Day,1993,101,"
Comedy, Fantasy, Romance            ",8.0,72
148,Bound by Honor,1993,180,"
Crime, Drama            ",8.0,47
149,Scent of a Woman,1992,156,"
Drama            ",8.0,59
150,Aladdin,1992,90,"
Animation, Adventure, Comedy            ",8.0,86
151,JFK,1991,189,"
Drama, History, Thriller            ",8.0,72
152,Beauty and the Beast,1991,84,"
Animation, Family, Fantasy            ",8.0,95
153,Dances with Wolves,1990,181,"
Adventure, Drama, Western            ",8.0,72
154,Rain Man,1988,133,"
Drama            ",8.0,65
155,Der Himmel über Berlin,1987,128,"
Drama, Fantasy, Romance            ",8.0,79
156,Au revoir les enfants,1987,104,"
Drama, War            ",8.0,88
157,Tenkû no shiro Rapyuta,1986,125,"
Animation, Adventure, Drama            ",8.0,78
158,The Terminator,1984,107,"
Action, Sci-Fi            ",8.0,84
159,Gandhi,1982,191,"
Biography, Drama, History            ",8.0,79
160,Kagemusha,1980,180,"
Drama, History, War            ",8.0,84
161,Being There,1979,130,"
Comedy, Drama            ",8.0,83
162,Annie Hall,1977,93,"
Comedy, Romance            ",8.0,92
163,All the President's Men,1976,138,"
Biography, Drama, History            ",8.0,84
164,Jaws,1975,124,"
Adventure, Thriller            ",8.0,87
